1;the_Mothers_of_Prevention;is_a_1985_album_by;Frank_Zappa;0.898
1;the_Mothers_of_Prevention;is;a_1985_album;0.722
2;The_album;was_originally_released_in;two_slightly_different_versions;0.929
2;The_album;was_originally_released_on;two_slightly_different_versions;0.644
3;whose_work;was_characterized_by;nonconformity;0.888
4;Zappa;composed;rock_pop_jazz_jazz_fusion_orchestral_and_musique_concrète_works;0.784
4;rock_pop_jazz_jazz_fusion_orchestral_and_musique_concrète_works;be_composed_in;a_career_spanning_more_than_30_years;0.677
4;he;released;the_Mothers_of_Invention;0.64
4;Zappa;composed_rock_pop_jazz_jazz_fusion_orchestral_and_musique_concrète_works_in;a_career_spanning_more_than_30_years;0.594
4;he;released_the_Mothers_of_Invention_with;his_band;0.517
4;the_Mothers_of_Invention;be_released_with;his_band;0.496
5;Zappa;also_directed;feature-length_films_and_music_videos;0.794
6;He;is_considered;one_of_the_most_innovative_and_stylistically_diverse_rock_musicians_of_his_generation;0.679
7;references;appear_in;his_music_and_lyrics;0.724
8;Zappa;believed_his_childhood_diseases_might_have_been_due_to;exposure;0.936
8;gas;be_released_by;the_nearby_chemical_warfare_facility;0.618
9;he;lived_in;Baltimore;0.828
10;his_family;relocated_for;reasons_of_health;0.942
10;his_family;relocated_in;1952;0.772
11;his_father;taught_metallurgy_at;the_Naval_Postgraduate_School;0.922
11;They;be_moved_to;Monterey;0.899
11;his_father;taught;metallurgy;0.871
11;metallurgy;be_taught_at;the_Naval_Postgraduate_School;0.768
12;They;soon_moved_then_to;El_Cajon;0.83
12;They;soon_moved_then_to;Claremont;0.829
13;he;would_later_refer_to;Lancaster;0.769
13;he;would_later_refer_in;the_1973_track;0.658
13;a_small_aerospace_and_farming_town;had_moved_to;Lancaster;0.538
13;the_Zappa_family;had_moved_by;1956;0.5
13;Lancaster;be_a_small_aerospace_in;the_Antelope_Valley_of_the_Mojave_Desert;0.453
14;Zappa_'s_mother;encouraged_him_in;his_musical_interests;0.866
14;Zappa_'s_mother;encouraged;him;0.784
14;him;be_encouraged_in;his_musical_interests;0.626
15;son;be_a_long_distance_call_to;the_composer;0.615
15;son;be_a_long_distance_call_as;a_15th_birthday_present;0.579
15;she;disliked;Varèse_'s_music;0.561
15;she;was_enough;indulgent;0.446
15;long;distance_call_to;the_composer;0.275
15;long;distance_call_as;a_15th_birthday_present;0.202
16;Varèse;Unfortunately_was_in;Europe;0.886
16;Varèse;spoke_to;the_composer_'s_wife;0.881
16;Zappa;spoke_to;the_composer_'s_wife;0.881
16;Varèse;Unfortunately_was_at;the_time;0.853
16;Zappa;Unfortunately_was_in;Europe;0.792
16;Zappa;Unfortunately_was_at;the_time;0.739
16;she;spoke_to;the_composer_'s_wife;0.67
16;Varèse;spoke_of;the_composer_'s_wife;0.611
16;Zappa;spoke_of;the_composer_'s_wife;0.611
16;Varèse;spoke_at;the_composer_'s_wife;0.562
16;Zappa;spoke_at;the_composer_'s_wife;0.562
16;she;Unfortunately_was_in;Europe;0.52
16;she;Unfortunately_was_at;the_time;0.445
16;she;spoke_of;the_composer_'s_wife;0.302
16;she;spoke_at;the_composer_'s_wife;0.261
17;Varèse;thanked_him_for;his_interest;0.85
17;Varèse;thanked;him;0.8
17;him;be_told_about;a_composition_he_was_working_on_called_"_Déserts_";0.659
17;him;be_thanked_for;his_interest;0.57
19;Varèse;invited;him;0.809
19;he;ever_came_to;New_York;0.208
20;Varèse;kept_it_on;display;0.845
20;Varèse;kept_it_for;the_rest_of_his_life;0.795
20;Zappa;framed;the_letter;0.784
20;The_meeting;never_took;place;0.778
20;it;be_kept_on;display;0.718
20;it;be_kept_for;the_rest_of_his_life;0.7
20;Varèse;kept;it;0.614
21;Frank_Zappa;was_born_in;Baltimore;0.9
21;Frank_Zappa;was_born_at;Baltimore;0.555
21;Frank_Zappa;was_born_on;Baltimore;0.554
21;Baltimore;was_born_in;Maryland;0.494
22;His_mother;was_an_immigrant_from;Partinico;0.842
22;His_mother;was;an_immigrant;0.668
22;Partinico;was_an_immigrant_from;Sicily;0.573
23;Frank_Zappa;was_raised_in;an_Italian-American_household_where_Italian_was_spoken_often_by_his_grandparents;0.937
23;Italian;was_spoken_often_by;his_grandparents;0.919
23;Italian;was_spoken_often_in;an_Italian-American_household;0.643
